date,symbol,open,close,low, high, volume
2015-11-23,BTC,323.2,322.17,322.0,326.0,4985.429381769998
2015-11-24,BTC,322.18,319.1,318.0,323.17,5768.886586869998
2015-11-25,BTC,319.09,331.42,316.26,333.79,8585.660732519997
2015-11-26,BTC,331.42,354.91,331.42,368.17,13755.03531609998
2015-11-27,BTC,354.92,356.61,347.96,364.14,8120.272113050008
2015-11-28,BTC,356.62,356.69,352.0,359.61,5024.630059769995
2015-11-29,BTC,356.61,377.3,354.26,378.01,6905.68669695
2015-11-30,BTC,376.81,377.39,367.5,382.8,10864.113807089987
2015-12-01,BTC,377.37,349.71,347.55,378.94,10769.43417064999
2015-12-02,BTC,347.57,360.45,347.57,363.06,7263.18815439
2015-12-03,BTC,360.45,357.85,356.52,369.99,7546.838193850006
2015-12-04,BTC,357.0,369.61,355.43,369.87,6131.519114899998
2015-12-05,BTC,369.6,395.25,368.12,397.0,9880.977305330001
2015-12-06,BTC,395.24,391.0,375.22,400.44,8946.31443704999
2015-12-07,BTC,390.73,394.0,385.0,397.21,7547.346106260006
2015-12-08,BTC,393.88,413.35,386.69,418.99,10084.232550969984
2015-12-09,BTC,413.33,416.11,401.0,421.95,12407.689126320012
2015-12-10,BTC,416.11,418.88,408.0,419.95,7063.292817029993
2015-12-11,BTC,418.97,454.71,418.49,454.77,16786.50878474997
2015-12-12,BTC,453.55,435.43,403.0,469.32,26752.35144836004
2015-12-13,BTC,435.36,437.44,419.42,443.67,7952.116346979987
2015-12-14,BTC,437.17,451.48,434.91,451.99,165886.50046395013
2015-12-15,BTC,451.49,461.25,450.5,464.95,11001.97233620001
2015-12-16,BTC,460.98,449.54,440.0,463.32,35575.14142672999
2015-12-17,BTC,449.41,453.84,446.01,456.33,6722.071940209994
2015-12-18,BTC,453.84,464.27,453.28,465.0,6545.696104390009
2015-12-19,BTC,464.04,460.74,451.58,465.6,7000.540156410002
2015-12-20,BTC,460.68,430.49,424.66,460.58,9853.891818739998
2015-12-21,BTC,429.74,439.53,429.22,444.44,6486.778721800012
2015-12-22,BTC,439.52,431.66,428.29,442.0,7398.447214490002
2015-12-23,BTC,431.68,448.02,431.68,448.4,7462.740959410012
2015-12-24,BTC,448.01,458.45,447.95,459.99,6782.314664390013
2015-12-25,BTC,458.45,456.18,450.01,458.96,3648.064997560001
2015-12-26,BTC,456.0,415.0,410.0,455.98,14377.035931149998
2015-12-27,BTC,414.65,428.99,412.4,429.44,5399.457015829996
2015-12-28,BTC,428.99,424.92,418.0,429.9,7028.541454470002
2015-12-29,BTC,424.91,434.98,419.31,434.98,6711.779624829989
2015-12-30,BTC,434.98,426.94,422.35,434.98,5290.109274870009
2015-12-31,BTC,426.9,430.78,419.04,433.73,6346.494405260007
2016-01-01,BTC,430.8,434.38,427.92,437.45,4433.516525740001
2016-01-02,BTC,434.36,433.52,432.64,436.6,3511.684337450001
2016-01-03,BTC,433.51,433.3,425.02,434.98,3912.3258692599984
2016-01-04,BTC,433.3,434.89,431.76,435.79,6350.881976359995
2016-01-05,BTC,434.78,432.65,430.0,435.62,5559.305407370004
2016-01-06,BTC,432.42,431.0,428.15,433.0,5646.418718749995
2016-01-07,BTC,430.99,460.0,430.64,464.4,15452.450605240014
2016-01-08,BTC,459.99,455.41,447.53,462.07,7165.567563300003
2016-01-09,BTC,454.56,446.66,445.29,455.25,4585.528431730001
2016-01-10,BTC,446.56,452.25,442.96,452.28,4384.884655990003
2016-01-11,BTC,452.25,446.48,445.88,452.62,5491.177921089999
2016-01-12,BTC,446.48,434.91,425.0,448.98,8304.126048469998
2016-01-13,BTC,433.84,433.6,425.23,435.92,7571.436005389997
2016-01-14,BTC,433.6,422.18,420.0,435.24,6999.735572829995
